site_id,m_host,prefixes,post response
1661534606177000796,MFEMAP01,['10.147.152.0/22'],
1659363199690006896,LAXVLP01,['10.151.32.0/22'],
1666978222630001196,RDUHLP01,['10.121.56.0/22'],
1666977958888005396,CLTRUP01,['10.115.204.0/22'],
1662906764001003496,RDUTWP01,['10.115.212.0/22'],
1662906256754015596,SLCLIP01,['10.158.40.0/22'],
1662905281050004896,RDUEEP01,['10.117.32.0/22'],
1662906643350022596,ILMRIP01,['10.115.176.0/22'],
1666978094341005496,RDUCYP01,['10.112.60.0/22'],
1664549926577015496,FLLNEP01,['10.125.32.0/22'],
1663956214252006296,TULRDP01,['10.73.236.0/22'],
1662751722280021396,EWRWTP01,['10.97.164.0/22'],
1662905031371023696,PHXCDP01,['10.147.80.0/22'],
1662751680518012296,EWRNPP01,['10.106.124.0/22'],
1662905153764021696,PHXCSP01,['10.150.72.0/22'],
1666978291941023896,RDUSHP01,['10.112.4.0/22'],
1666978157018019496,GRRRIP01,['10.131.64.0/22'],
1664545497915000496,ALBCOP01,['10.106.224.0/22'],
1661552730612010096,MHKFIP01,['10.133.84.0/22'],
1666978415723005596,RICMWP01,['10.98.88.0/22'],
1664545797585007896,CSGTSP01,['10.122.28.0/22'],
1661552840013016096,SATSGP01,['10.153.136.0/22'],
1661552609673006896,TBNFIP01,['10.133.100.0/22'],
1664547736830011696,SANODP01,['10.158.20.0/22'],
1667505032214008896,HYDMCP01,['10.162.144.0/22'],
1667583266767022896,SAVHDP01,['10.123.148.0/22'],
1667583539080022696,UKTSHP01,['10.107.176.0/22'],
1667583767090002696,FSDSHP01,['10.138.12.0/22'],
1667583341243024096,WASCVP01,['10.101.248.0/22'],
1667583598821000896,BNAVWP01,['10.124.244.0/22'],
1667583819205003396,DENDAP01,['10.136.4.0/22'],
1667583410170008896,WASFGP01,['10.103.220.0/22'],
1667583651776008996,DALSSP01,['10.153.104.0/22'],
1667584654975010496,GLSTSP01,['10.157.228.0/22'],
1667583467826005996,CRPRIP01,['10.145.0.0/22'],
1667584720146022996,FLORIP01,['10.122.232.0/22'],
1667585013083019996,EWRBGP01,['10.101.60.0/22'],
1667838552788016596,ROMEBP01,['10.235.92.0/22'],
1667919898663020296,MSOFIP01,['10.59.112.0/22'],
1667584788292019396,FLOTSP01,['10.118.244.0/22'],
1667584853585002296,FKRTSP01,['10.96.184.0/22'],
1667578707223005696,FLGSHP01,['10.156.100.0/22'],
1659562678374005996,IYKSHP01,['10.155.80.0/22'],
1667584926002018496,FHUTSP01,['10.154.200.0/22'],
1667584214882023896,HARETP01,['10.108.20.0/22'],
1667584494881005596,HARYTP01,['10.109.120.0/22'],
1666954591052005796,EGEAVP01,['10.59.196.0/22'],
1667584551870008496,GLSSHP01,['10.155.20.0/22'],
1667584383097014396,GJTFIP01,['10.139.4.0/22'],
1667584600139012096,EGERIP01,['10.136.188.0/22'],
1667584300510004796,FOERIP01,['10.129.152.0/22'],
1667584444242015596,GJTSHP01,['10.135.244.0/22'],
1667584789952022696,FLLPMP01,['10.124.100.0/22'],
1667585841179010396,IADWFP01,['10.97.84.0/22'],
1667585429226024396,HVNSHP01,['10.101.84.0/22'],
